date,Spice Name,daily_volume_kg,daily_shipment_count,daily_fob_total,daily_buyer_count,daily_exporter_count,price_per_kg_inr_mean,price_per_kg_inr_median,price_per_kg_inr_min,price_per_kg_inr_max,price_per_kg_inr_vwap,rolling7_volume_kg,rolling14_volume_kg,rolling7_avg_price,lag1_price,lag7_price,rolling7_price_std,price_momentum_1d,price_momentum_7d,volume_shock,day_of_week,month,week_of_year
2025-05-01,Ajwain,4883.0679,6.0,451877.47,4.0,4.0,230.01912315672146,237.56829545,74.99999346,430.1128179803289,92.53966548128483,4883.0679,4883.0679,92.53966548128483,,,,,,1.0,3,5,18
2025-05-02,Ajwain,100.0,1.0,30395.86,1.0,1.0,303.9586,303.9586,303.9586,303.9586,303.9586,4983.0679,4983.0679,198.2491327406424,92.53966548128483,,149.49576226941815,2.284630416796486,,0.04013591707229195,4,5,18
2025-05-03,Ajwain,9276.0,3.0,751549.52,3.0,3.0,200.26827115666666,210.4235,75.00000667,315.3813068,81.02086244359637,14259.0679,14259.0679,159.17304264162706,303.9586,,125.52017336084383,-0.7334477049058774,,1.9516002164489308,5,5,18
2025-05-04,Ajwain,,,,,,,,,,,14259.0679,14259.0679,159.17304264162706,81.02086244359637,,125.52017336084383,,,,6,5,18
2025-05-05,Ajwain,7752.0,11.0,993212.77,7.0,9.0,218.49384640727274,195.1796,75.00001538,398.5465,128.1234223367905,22011.067900000002,22011.067900000002,151.41063756541791,,,103.65598074380217,,,1.408745824640339,0,5,19
2025-05-06,Ajwain,4288.0,5.0,963996.76,4.0,4.0,260.38462442,250.8596354,174.9999735,341.5593399,224.81267723791976,26299.067900000002,26299.067900000002,166.0910454999183,128.1234223367905,,95.58239191182821,0.7546571355779734,,0.8152380183785906,1,5,19
2025-05-07,Ajwain,4451.0,9.0,512537.57,5.0,6.0,213.67462079333333,240.95036199999998,74.9998,360.0,115.15110536856885,30750.067900000002,30750.067900000002,157.60105547802672,224.81267723791976,,87.98451283208863,-0.4877908720125058,,0.8684858871482362,2,5,19
2025-05-08,Ajwain,38440.0,9.0,3557656.03,5.0,6.0,170.93848442586668,130.0001333,8.1064309328,502.2961,92.55088529081685,64307.0,69190.0679,157.60292544628206,115.15110536856885,92.53966548128483,87.98285360636581,-0.19626576753574831,0.00012124324713802537,3.5865457881723604,3,5,19
2025-05-09,Ajwain,6115.0,5.0,490639.35,3.0,3.0,165.935776086,75.00006333,74.99998,364.1308571,80.23538021022077,70322.0,75305.0679,120.31572214798551,92.55088529081685,303.9586,54.64183936604842,-0.13306739359540265,-0.7360318799658218,0.521742840078496,4,5,19
2025-05-10,Ajwain,6156.8,9.0,1432533.3099999998,6.0,6.0,266.2659800941976,312.3466667,25.532286669999998,397.2160976,232.6749788757666,67202.8,81461.8679,145.5914082200139,80.23538021022077,81.02086244359637,66.5973089265424,1.8999049828909187,1.8717909419656702,0.5496913819067063,5,5,19
2025-05-11,Ajwain,3345.3199999999997,8.0,575295.95,4.0,4.0,192.29704001625,199.94430949999997,65.98261333,284.5244333,171.97037949790334,70548.12,84807.1879,149.3598326882838,232.6749788757666,,61.606886446991396,-0.2608986994268756,,0.33193287078379974,6,5,19
2025-05-12,Ajwain,912.5999999999999,7.0,258861.72,4.0,4.0,348.8588674428571,303.2147208,241.52399999999997,584.6791667,283.65299141599826,63708.72,85719.7879,171.57834255674206,171.97037949790334,128.1234223367905,78.42244878135088,0.6494293508229221,1.2139042670151001,0.10027198788486096,0,5,20
2025-05-13,Ajwain,416.59999999999997,10.0,133475.63999999998,4.0,4.0,427.7551287606122,467.755,232.58163265306123,584.6937499999999,320.39279882525204,59837.32,86136.3879,185.2326456406467,283.65299141599826,224.81267723791976,95.66194897813895,0.1295237791283228,0.4251545009011197,0.04873547144156857,1,5,20
